101 106 "Salut, ai ajuns la Cluj?" 
101 106 "Maine este street food, la Iulius ai vrea sa vi?" 
101 102 "Slaut, daca vi maine la cluj, poti sa-mi aduci un pachet/" 
101 104 "Hei, eu merg saptamana viitoare cu niste prieteni la Poiana Narciselor, vrei sa vi?" 
101 109 "Hei, nu stii cumva o aplicatie de unde pot sa-mi comand niste gadgeturi mai ieftine?" 
101 103 "Saluuut, long time no see, hai la o plimbare cu masina pana in Bistrita." 
104 101 "Nu cred ca pot veni ca am de invatat pentru un colocviu la biostatistica" 
104 101 "Dar vedem, poate reprogramam..." 
102 101 "Da, siur ca da" 
109 101 "Ba da, joom :))))" 
103 101 "Ba daaa, chiar ma gandeam sa-ti propun" 
104 105 "Hei, Ioana, ce mia faci?" 
101 109 "Nu-mi esti de mare ajutor..." 
101 104 "Bine, mai vorbim" 
102 109 "Salut, te-ar interesa un curs de programare in Cluj?" 
102 109 "lasa-mi un mesaj daca esti intersat" 
102 105 "Hei, oare nu stii pe cineva care ar avea un manual Barron's de vandut?" 
102 111 "Duminica plec la Cluj si iau bilete online, iti iau si tie>" 
102 110 "Salut, i-am scris Elenei despre bilet online de tren, vi si tu la cj duminica>" 
102 110 "Pot sa-ti iau si tie bilet daca vrei" 
102 112 "Ilie, am nevoie de ajutor la o problema la BC, daca poti sa ma ajuti?" 
102 103 "Ionut, oare nu cunosti pe cineva care are un laptop de vanzare?" 
103 102 "Salut, habar nu am, poate gasesti pe olx sau marketplace(Facebook)" 
103 104 "Stefana, cum e la kineto, nu am mai vb de mult" 
103 106 "Hei, te-am vazut cu masina prin Sangeorz, ai grija la pietoni, nu-s asa rezistenti la impact precum crezi ğŸ˜‚" 
103 109 "Cristi, am nevoi de ajutorul tau la un edit la un videoclip ğŸ˜" 
106 103 "ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚" 
106 103 "Daca ai apucat sa ma vezi inseamna ca nu e asa de mare pericolul ğŸ˜‚" 
106 101 "Am ajuns, si cred ca vin, mai am 30 de pagini de scris la licenta, dar mai pot astepta ğŸ˜…" 
106 105 "Oni, hai si tu la street food lasa invatatul..." 
109 102 "Salut, momentan nu prea am timp, dar multumesc de propunere oricum" 
109 103 "Contracost, cum sa nu ğŸ¤£" 
101 105 "O sa-ti tirmit o tema la pedagogie sa-mi dai o parere" 
105 101 "ia sa vad, trimite" 
101 105 "FinalitÄƒÅ£ile acÅ£iunii educaÅ£ionale sunt sistematizate Ã®n trei categorii principale: idealul educaÅ£ional, scopurile ÅŸi obiectivele educaÅ£ionale." 
101 105 "UNESCO a stabilit prin consens cÄƒ termenii de finalitate, scop ÅŸi obiectiv, care Ã®n limbaj curent sunt adesea sinonimi, sÄƒ desemneze Ã®n limbajul pedagogic trei grade de generalitate ale intenÅ£ionalitÄƒÅ£ilor educaÅ£ionale. Astfel se considerÄƒ finalitÄƒÅ£ile ca â€aspiraÅ£ii sau intenÅ£ionalitÄƒÅ£iâ€ Ã®nalte, pe termen lung acestea fiind idealrile educaÅ£iei, scopurile sunt â€aspiraÅ£ii sau intenÅ£ionalitÄƒÅ£iâ€ pe termen mediu ÅŸi cu grad de generalitate mediu, iar obiectivele ar fi sarcini particulare, mai analitice ÅŸi mai concrete ale procesului educaÅ£ional." 
101 105 "Idealul educaÅ£ional, reprezintÄƒ modelul sau tipul de personalitate solicitat de condiÅ£iile sociale ale unei etape istorice ÅŸi pe care educaÅ£ia este chematÄƒ sÄƒ-l formeze Ã®n procesul desfÄƒÅŸurÄƒrii ei. In epoca contemporana, idealul educational este acela de formare intelectuala si psihologica a individului pana la nivelul necesar pentru a se putea integra in societate." 
101 105 "DacÄƒ considerÄƒm cÄƒ educaÈ›ia ca activitate socialÄƒ se exercitÄƒ asupra fiintelor umane de la nastere, pe parcursul anilor de scoalÄƒ, al celor de maturitate, in forme diferite, cu tipuri de influente diverse, atunci este evident cÄƒ nu putem vorbi decat despre o permanenÈ›Äƒ a educaÈ›iei. Din punctul meu de vedere, educatia este permanent prezenta in vietile noastre, deoarece mereu ne lovim de lucruri noi ne-experimentate despre care trebuie sa invatam cum sa le folosim sau sa le abordam." 
